Wellenlaenge,Melanopsin,L-cone-opsin,M-cone-opsin,S-cone-opsin,Rhodopsin,V(lambda)
565,8.43457E-02,9.96979E-01,8.40969E-01,2.51918E-04,2.639E-01,0.9786
566,7.86198E-02,9.98411E-01,8.29303E-01,2.28725E-04,2.519E-01,0.9740837
567,7.31750E-02,9.99391E-01,8.16911E-01,2.07699E-04,2.403E-01,0.9691712
568,6.80288E-02,9.99912E-01,8.03910E-01,1.88638E-04,2.291E-01,0.9638568
569,6.31984E-02,9.99965E-01,7.90413E-01,1.71357E-04,2.182E-01,0.9581349
570,5.87013E-02,9.99543E-01,7.76526E-01,1.55688E-04,2.076E-01,0.952
571,5.44832E-02,9.98615E-01,7.62311E-01,1.41480E-04,1.974E-01,0.9454504
572,5.04889E-02,9.97051E-01,7.47669E-01,1.28596E-04,1.876E-01,0.9384992
573,4.67344E-02,9.94701E-01,7.32476E-01,1.16912E-04,1.782E-01,0.9311628
574,4.32357E-02,9.91416E-01,7.16622E-01,1.06316E-04,1.690E-01,0.9234576
575,4.00089E-02,9.87057E-01,7.00013E-01,9.67045E-05,1.602E-01,0.9154
576,3.70102E-02,9.81599E-01,6.82647E-01,8.79858E-05,1.517E-01,0.9070064
577,3.41903E-02,9.75451E-01,6.64817E-01,8.00756E-05,1.436E-01,0.8982772
578,3.15562E-02,9.69120E-01,6.46858E-01,7.28979E-05,1.358E-01,0.8892048
579,2.91153E-02,9.63093E-01,6.29072E-01,6.63837E-05,1.284E-01,0.8797816
580,2.68747E-02,9.57841E-01,6.11728E-01,6.04705E-05,1.212E-01,0.87
581,2.48014E-02,9.53664E-01,5.94998E-01,5.51020E-05,1.143E-01,0.8598613
582,2.28597E-02,9.50236E-01,5.78783E-01,5.02269E-05,1.078E-01,0.849392
583,2.10534E-02,9.47086E-01,5.62935E-01,4.57988E-05,1.015E-01,0.838622
584,1.93864E-02,9.43752E-01,5.47321E-01,4.17759E-05,9.56E-02,0.8275813
585,1.78624E-02,9.39781E-01,5.31825E-01,3.81202E-05,8.99E-02,0.8163
586,1.64578E-02,9.34826E-01,5.16354E-01,3.47974E-05,8.45E-02,0.8047947
587,1.51470E-02,9.28917E-01,5.00870E-01,3.17763E-05,7.93E-02,0.793082
588,1.39314E-02,9.22177E-01,4.85350E-01,2.90288E-05,7.45E-02,0.781192
589,1.28120E-02,9.14729E-01,4.69777E-01,2.65294E-05,6.99E-02,0.7691547
590,1.17901E-02,9.06693E-01,4.54142E-01,2.42549E-05,6.55E-02,0.757
591,1.08488E-02,8.98170E-01,4.38454E-01,2.21847E-05,6.13E-02,0.7447541
592,9.97112E-03,8.89188E-01,4.22778E-01,2.02996E-05,5.74E-02,0.7324224
593,9.15850E-03,8.79759E-01,4.07188E-01,1.85826E-05,5.37E-02,0.7200036
594,8.41242E-03,8.69894E-01,3.91752E-01,1.70182E-05,5.02E-02,0.7074965
595,7.73430E-03,8.59605E-01,3.76527E-01,1.55924E-05,4.69E-02,0.6949
596,7.11255E-03,8.48912E-01,3.61559E-01,1.42924E-05,4.38E-02,0.6822192
597,6.53476E-03,8.37865E-01,3.46856E-01,1.31066E-05,4.09E-02,0.6694716
598,6.00110E-03,8.26522E-01,3.32422E-01,1.20248E-05,3.816E-02,0.6566744
599,5.51174E-03,8.14940E-01,3.18261E-01,1.10373E-05,3.558E-02,0.6438448
600,5.06686E-03,8.03173E-01,3.04378E-01,1.01356E-05,3.315E-02,0.631
601,4.65869E-03,7.91253E-01,2.90784E-01,9.31202E-06,3.087E-02,0.6181555
602,4.27946E-03,7.79118E-01,2.77506E-01,8.55941E-06,2.874E-02,0.6053144
603,3.92939E-03,7.66691E-01,2.64575E-01,7.87141E-06,2.674E-02,0.5924756
604,3.60872E-03,7.53900E-01,2.52012E-01,7.24221E-06,2.487E-02,0.5796379
605,3.31766E-03,7.40680E-01,2.39837E-01,6.66657E-06,2.312E-02,0.5668
606,3.05109E-03,7.26995E-01,2.28065E-01,6.13970E-06,2.147E-02,0.5539611
607,2.80374E-03,7.12905E-01,2.16703E-01,5.65727E-06,1.994E-02,0.5411372
608,2.57560E-03,6.98491E-01,2.05754E-01,5.21535E-06,1.851E-02,0.5283528
609,2.36668E-03,6.83829E-01,1.95221E-01,4.81036E-06,1.718E-02,0.5156323
610,2.17698E-03,6.68991E-01,1.85104E-01,4.43906E-06,1.593E-02,0.503
611,2.00317E-03,6.54037E-01,1.75398E-01,4.09850E-06,1.477E-02,0.4904688
612,1.84190E-03,6.38979E-01,1.66091E-01,3.78599E-06,1.369E-02,0.4780304
613,1.69317E-03,6.23825E-01,1.57169E-01,3.49911E-06,1.269E-02,0.4656776
614,1.55692E-03,6.08579E-01,1.48620E-01,3.23563E-06,1.175E-02,0.4534032
615,1.43314E-03,5.93248E-01,1.40431E-01,2.99354E-06,1.088E-02,0.4412
616,1.31972E-03,5.77857E-01,1.32591E-01,0.00000E+00,1.007E-02,0.42908
617,1.21451E-03,5.62493E-01,1.25092E-01,0.00000E+00,9.32E-03,0.417036
618,1.11743E-03,5.47248E-01,1.17928E-01,0.00000E+00,8.62E-03,0.405032
619,1.02839E-03,5.32209E-01,1.11091E-01,0.00000E+00,7.97E-03,0.393032
620,9.47313E-04,5.17449E-01,1.04573E-01,0.00000E+00,7.37E-03,0.381
621,8.72814E-04,5.02993E-01,9.83663E-02,0.00000E+00,6.82E-03,0.3689184
622,8.03576E-04,4.88692E-01,9.24685E-02,0.00000E+00,6.30E-03,0.3568272
623,7.39620E-04,4.74376E-01,8.68759E-02,0.00000E+00,5.82E-03,0.3447768
624,6.80970E-04,4.59896E-01,8.15834E-02,0.00000E+00,5.38E-03,0.3328176
625,6.27648E-04,4.45125E-01,7.65841E-02,0.00000E+00,4.97E-03,0.321
626,5.78753E-04,4.30007E-01,7.18683E-02,0.00000E+00,4.59E-03,0.3093381
627,5.33358E-04,4.14687E-01,6.74186E-02,0.00000E+00,4.24E-03,0.2978504
628,4.91440E-04,3.99340E-01,6.32176E-02,0.00000E+00,3.913E-03,0.2865936
629,4.52980E-04,3.84122E-01,5.92492E-02,0.00000E+00,3.613E-03,0.2756245
630,4.17955E-04,3.69168E-01,5.54990E-02,0.00000E+00,3.335E-03,0.265
631,3.85789E-04,3.54580E-01,5.19550E-02,0.00000E+00,3.079E-03,0.2547632
632,3.55905E-04,3.40389E-01,4.86103E-02,0.00000E+00,2.842E-03,0.2448896
633,3.28289E-04,3.26609E-01,4.54591E-02,0.00000E+00,2.623E-03,0.2353344
634,3.02926E-04,3.13249E-01,4.24945E-02,0.00000E+00,2.421E-03,0.2260528
635,2.79801E-04,3.00316E-01,3.97097E-02,0.00000E+00,2.235E-03,0.217
636,2.58544E-04,2.87817E-01,3.70952E-02,0.00000E+00,2.062E-03,0.2081616
637,2.38785E-04,2.75762E-01,3.46347E-02,0.00000E+00,1.903E-03,0.1995488
638,2.20508E-04,2.64158E-01,3.23125E-02,0.00000E+00,1.757E-03,0.1911552
639,2.03699E-04,2.53009E-01,3.01151E-02,0.00000E+00,1.621E-03,0.1829744
640,1.88341E-04,2.42316E-01,2.80314E-02,0.00000E+00,1.497E-03,0.175
641,1.74192E-04,2.32061E-01,2.60564E-02,0.00000E+00,1.382E-03,0.1672235
642,1.61020E-04,2.22158E-01,2.42011E-02,0.00000E+00,1.276E-03,0.1596464
643,1.48821E-04,2.12516E-01,2.24760E-02,0.00000E+00,1.178E-03,0.1522776
644,1.37594E-04,2.03060E-01,2.08870E-02,0.00000E+00,1.088E-03,0.1451259
645,1.27337E-04,1.93730E-01,1.94366E-02,0.00000E+00,1.005E-03,0.1382
646,1.17891E-04,1.84495E-01,1.81200E-02,0.00000E+00,9.28E-04,0.1315003
647,1.09096E-04,1.75402E-01,1.69149E-02,0.00000E+00,8.57E-04,0.1250248
648,1.00949E-04,1.66509E-01,1.57991E-02,0.00000E+00,7.92E-04,0.1187792
649,9.34437E-05,1.57865E-01,1.47543E-02,0.00000E+00,7.32E-04,0.1127691
650,8.65751E-05,1.49509E-01,1.37660E-02,0.00000E+00,6.77E-04,0.107
651,8.02405E-05,1.41470E-01,1.28246E-02,0.00000E+00,6.26E-04,0.1014762
652,7.43383E-05,1.33760E-01,1.19304E-02,0.00000E+00,5.79E-04,0.09618864
653,6.88650E-05,1.26383E-01,1.10850E-02,0.00000E+00,5.36E-04,0.09112296
654,6.38172E-05,1.19343E-01,1.02892E-02,0.00000E+00,4.96E-04,0.08626485
655,5.91914E-05,1.12638E-01,9.54315E-03,0.00000E+00,4.59E-04,0.0816
656,5.49203E-05,1.06264E-01,8.84609E-03,0.00000E+00,4.25E-04,0.07712064
657,5.09374E-05,1.00208E-01,8.19600E-03,0.00000E+00,3.935E-04,0.07282552
658,4.72404E-05,9.44558E-02,7.59059E-03,0.00000E+00,3.645E-04,0.06871008
659,4.38269E-05,8.89934E-02,7.02754E-03,0.00000E+00,3.377E-04,0.06476976
660,4.06945E-05,8.38077E-02,6.50455E-03,0.00000E+00,3.129E-04,0.061
661,3.77990E-05,7.88866E-02,6.01952E-03,0.00000E+00,2.901E-04,0.05739621
662,3.50966E-05,7.42192E-02,5.57093E-03,0.00000E+00,2.689E-04,0.05395504
663,3.25857E-05,6.97953E-02,5.15728E-03,0.00000E+00,2.493E-04,0.05067376
664,3.02647E-05,6.56050E-02,4.77687E-03,0.00000E+00,2.313E-04,0.04754965
665,2.81320E-05,6.16384E-02,4.42794E-03,0.00000E+00,2.146E-04,0.04458
666,2.61587E-05,5.78857E-02,4.10832E-03,0.00000E+00,1.991E-04,0.04175872
667,2.43158E-05,5.43366E-02,3.81470E-03,0.00000E+00,1.848E-04,0.03908496
668,2.26017E-05,5.09811E-02,3.54392E-03,0.00000E+00,1.716E-04,0.03656384
669,2.10148E-05,4.78096E-02,3.29329E-03,0.00000E+00,1.593E-04,0.03420048
670,1.95535E-05,4.48132E-02,3.06050E-03,0.00000E+00,1.480E-04,0.032
671,1.81982E-05,4.19831E-02,2.84369E-03,0.00000E+00,1.375E-04,0.02996261
672,1.69302E-05,3.93111E-02,2.64175E-03,0.00000E+00,1.277E-04,0.02807664
